sg nom,sg gen,sg part,sg ill,pl nom,pl gen,pl part,pl ill,pl ine,kommentaar
aapõ,aava,aapa,aapasõ,aavõd,aapojõ,aapoit,aapoisõ,aapoiz,
aastaikõ,aastaiga,aastaika,aastaikasõ,aastaigõd,aastaikojõ,aastaikoit,aastaikoisõ,aastaikoiz,
ahas,ahta,ahassõ,ahtasõ,ahtad,ahtajõ,ahtait,ahtaisõ,ahtaiz,
ahjo,ahjo,ahjoa,ahjosõ,ahjod,ahjojõ,ahjoit,ahjoisõ,ahjoiz,Laakso märkinud -se pl ill vormis
ahnõz,ahna,ahnõssõ,ahnasõ,ahnad,ahnajõ,ahnait,ahnaisõ,ahnaiz,
ahvõn,ahvõna,ahvõna,ahvõnasõ,ahvõnõd,ahvõnojõ,ahvõnoit,ahvõnoisõ,ahvõnoiz,
aikõ,aiga,aika,aikasõ,aigõd,aikojõ,aikoit,aikoisõ,aikoiz,
airo,airo,airoa,airosõ,airod,airojõ,airoit,airoisõ,airoiz,
aitõ,ajja,aita,aitasõ,aijõd,aitojõ,aitoit,aitoisõ,aitoiz,
aju,aju,ajua,ajusõ,ajud,ajujõ,ajuit,ajuisõ,ajuiz,
akkunõ,akkuna,akkuna,akkunasõ,akkunõd,akkunojõ,akkunoit,akkunoisõ,akkunoiz,
alko,algo,alkoa,alkosõ,algod,alkojõ,alkoit,alkoisõ,alkoiz,
alku,algu,alkua,alkusõ,algud,alkujõ,alkuit,alkuisõ,alkuiz,
almõzi,almõzi,almõzia,almõzi,almõzid,almõzijõ,almõziit,almõziisõ,almõziiz,
aloi,aloja,aloja,alojasõ,alojõd,alojõ,alojõit,alojõisõ,alojõiz,
aluz,alusõ,alussõ,alussõ,alusõd,alussijõ,alussiit,alussiisõ,alussiiz,
alõin,alõtsõ,alõissõ,alõttsõ,alõtsõd,alõttsijõ,alõttsiit,alõttsiisõ,alõttsiiz,
